TIME,GEO,Value
2005,Belgium,100
2006,Belgium,102.33
2007,Belgium,104.19
2008,Belgium,108.87
2009,Belgium,108.86
2010,Belgium,111.4
2011,Belgium,115.14
2012,Belgium,118.16
2013,Belgium,119.57
2014,Belgium,120.22
2005,Bulgaria,100
2006,Bulgaria,107.42
2007,Bulgaria,115.55
2008,Bulgaria,129.36
2009,Bulgaria,132.56
2010,Bulgaria,136.58
2011,Bulgaria,141.21
2012,Bulgaria,144.58
2013,Bulgaria,145.14
2014,Bulgaria,142.81
2005,Czech Republic,100
2006,Czech Republic,102.1
2007,Czech Republic,105.1
2008,Czech Republic,111.7
2009,Czech Republic,112.4
2010,Czech Republic,113.7
2011,Czech Republic,116.2
2012,Czech Republic,120.3
2013,Czech Republic,121.9
2014,Czech Republic,122.4
2005,Denmark,100
2006,Denmark,101.8
2007,Denmark,103.5
2008,Denmark,107.3
2009,Denmark,108.4
2010,Denmark,110.8
2011,Denmark,113.8
2012,Denmark,116.5
2013,Denmark,117
2014,Denmark,117.4
2005,Germany,100
2006,Germany,101.8
2007,Germany,104.1
2008,Germany,107
2009,Germany,107.2
2010,Germany,108.4
2011,Germany,111.1
2012,Germany,113.5
2013,Germany,115.3
2014,Germany,116.2
2005,Estonia,100
2006,Estonia,104.45
2007,Estonia,111.49
2008,Estonia,123.31
2009,Estonia,123.56
2010,Estonia,126.95
2011,Estonia,133.4
2012,Estonia,139.02
2013,Estonia,143.53
2014,Estonia,144.22
2005,Ireland,100
2006,Ireland,102.7
2007,Ireland,105.6
2008,Ireland,108.9
2009,Ireland,107.1
2010,Ireland,105.4
2011,Ireland,106.6
2012,Ireland,108.7
2013,Ireland,109.2
2014,Ireland,109.6
2005,Greece,100
2006,Greece,103.31
2007,Greece,106.4
2008,Greece,110.9
2009,Greece,112.4
2010,Greece,117.68
2011,Greece,121.35
2012,Greece,122.61
2013,Greece,121.56
2014,Greece,119.87
2005,Spain,100
2006,Spain,103.56
2007,Spain,106.51
2008,Spain,110.91
2009,Spain,110.64
2010,Spain,112.9
2011,Spain,116.35
2012,Spain,119.18
2013,Spain,121
2014,Spain,120.77
2005,France,100
2006,France,101.91
2007,France,103.55
2008,France,106.82
2009,France,106.93
2010,France,108.79
2011,France,111.28
2012,France,113.75
2013,France,114.88
2014,France,115.58
2005,Italy,100
2006,Italy,102.2
2007,Italy,104.3
2008,Italy,108
2009,Italy,108.8
2010,Italy,110.6
2011,Italy,113.8
2012,Italy,117.5
2013,Italy,119
2014,Italy,119.3
2005,Cyprus,100
2006,Cyprus,102.25
2007,Cyprus,104.46
2008,Cyprus,109.03
2009,Cyprus,109.22
2010,Cyprus,112.02
2011,Cyprus,115.93
2012,Cyprus,119.52
2013,Cyprus,119.98
2014,Cyprus,119.66
2005,Latvia,100
2006,Latvia,106.57
2007,Latvia,117.32
