TIME,GEO,value
2014M01,Belgium,118.33
2014M02,Belgium,120.93
2014M03,Belgium,120.9
2014M04,Belgium,120.65
2014M05,Belgium,120.47
2014M06,Belgium,120.65
2014M07,Belgium,119.06
2014M08,Belgium,120.77
2014M09,Belgium,120.32
2014M10,Belgium,120.33
2014M11,Belgium,120.14
2014M12,Belgium,120.13
2014M01,Bulgaria,144.42
2014M02,Bulgaria,143.57
2014M03,Bulgaria,143.16
2014M04,Bulgaria,143.47
2014M05,Bulgaria,142.74
2014M06,Bulgaria,142.31
2014M07,Bulgaria,143.2
2014M08,Bulgaria,143.08
2014M09,Bulgaria,142.11
2014M10,Bulgaria,142.22
2014M11,Bulgaria,141.5
2014M12,Bulgaria,141.99
2014M01,Czech Republic,122.2
2014M02,Czech Republic,122.3
2014M03,Czech Republic,122.4
2014M04,Czech Republic,122.4
2014M05,Czech Republic,122.5
2014M06,Czech Republic,122.5
2014M07,Czech Republic,122.8
2014M08,Czech Republic,122.7
2014M09,Czech Republic,122.5
2014M10,Czech Republic,122.6
2014M11,Czech Republic,122.2
2014M12,Czech Republic,122.2
2014M01,Denmark,116.8
2014M02,Denmark,117.4
2014M03,Denmark,117.6
2014M04,Denmark,117.7
2014M05,Denmark,117.7
2014M06,Denmark,117.6
2014M07,Denmark,117.4
2014M08,Denmark,117.2
2014M09,Denmark,117.6
2014M10,Denmark,117.7
2014M11,Denmark,117.4
2014M12,Denmark,117.1
2014M01,Germany ,115.4
2014M02,Germany ,116
2014M03,Germany ,116.4
2014M04,Germany ,116.1
2014M05,Germany ,115.8
2014M06,Germany ,116.3
2014M07,Germany ,116.6
2014M08,Germany ,116.6
2014M09,Germany ,116.6
2014M10,Germany ,116.2
2014M11,Germany ,116.2
2014M12,Germany ,116.3
2014M01,Estonia,143.31
2014M02,Estonia,143.64
2014M03,Estonia,144.23
2014M04,Estonia,144.5
2014M05,Estonia,144.83
2014M06,Estonia,145.25
2014M07,Estonia,145
2014M08,Estonia,144.68
2014M09,Estonia,144.52
2014M10,Estonia,144.43
2014M11,Estonia,143.12
2014M12,Estonia,143.13
2014M01,Ireland,108.5
2014M02,Ireland,109.2
2014M03,Ireland,109.8
2014M04,Ireland,109.8
2014M05,Ireland,109.8
2014M06,Ireland,110
2014M07,Ireland,109.9
2014M08,Ireland,110.2
2014M09,Ireland,109.9
2014M10,Ireland,109.6
2014M11,Ireland,109.3
2014M12,Ireland,108.9
2014M01,Greece,119.99
2014M02,Greece,118.7
2014M03,Greece,120.89
2014M04,Greece,121.34
2014M05,Greece,120.61
2014M06,Greece,121.25
2014M07,Greece,120.02
2014M08,Greece,118.72
2014M09,Greece,120.59
2014M10,Greece,119.55
2014M11,Greece,118.7
2014M12,Greece,118.07
2014M01,Spain,119.4
2014M02,Spain,119.25
2014M03,Spain,121.14
2014M04,Spain,121.9
2014M05,Spain,121.87
2014M06,Spain,121.8
2014M07,Spain,119.93
2014M08,Spain,120.04
2014M09,Spain,121.27
2014M10,Spain,121.35
2014M11,Spain,121.07
2014M12,Spain,120.27
2014M01,France,114.63
2014M02,France,115.33
2014M03,France,115.92
2014M04,France,115.89
2014M05,France,115.92
2014M06,France,115.87
2014M07,France,115.42
2014M08,France,115.97
2014M09,France,115.55
2014M10,France,115.58
2014M11,France,115.39
2014M12,France,115.47
2014M01,Italy,117.6
2014M02,Italy,117.2
2014M03,Italy,119.8
2014M04,Italy,120.4
2014M05,Italy,120.3
2014M06,Italy,120.4
2014M07,Italy,117.9
2014M08,Italy,117.7
2014M09,Italy,119.9
2014M10,Italy,120.3
2014M11,Italy,120
2014M12,Italy,120
2014M01,Cyprus,116.68
2014M02,Cyprus,117.32
2014M03,Cyprus,118.85
2014M04,Cyprus,119.71
2014M05,Cyprus,121.04
2014M06,Cyprus,121.91
2014M07,Cyprus,121.57
2014M08,Cyprus,121.74
2014M09,Cyprus,120.98
2014M10,Cyprus,120.59
2014M11,Cyprus,118.67
2014M12,Cyprus,116.9
2014M01,Latvia,147.3
2014M02,Latvia,147.28
2014M03,Latvia,147.73
2014M04,Latvia,148.48
2014M05,Latvia,148.78
2014M06,Latvia,149.36
2014M07,Latvia,149.01
2014M08,Latvia,147.84
2014M09,Latvia,148.39
2014M10,Latvia,148.04
2014M11,Latvia,147.7
2014M12,Latvia,146.71
2014M01,Lithuania,139.59
2014M02,Lithuania,139.6
2014M03,Lithuania,140.14
2014M04,Lithuania,140.53
2014M05,Lithuania,140.53
2014M06,Lithuania,140.51
2014M07,Lithuania,139.83
2014M08,Lithuania,139.69
2014M09,Lithuania,140.32
2014M10,Lithuania,140.45
2014M11,Lithuania,140.36
2014M12,Lithuania,139.46
2014M01,Luxembourg,122.24
2014M02,Luxembourg,123.71
2014M03,Luxembourg,123.76
2014M04,Luxembourg,124.04
2014M05,Luxembourg,124.15
2014M06,Luxembourg,124.38
2014M07,Luxembourg,123.16
2014M08,Luxembourg,124.27
2014M09,Luxembourg,124.25
2014M10,Luxembourg,123.86
2014M11,Luxembourg,123.4
2014M12,Luxembourg,122.24
2014M01,Hungary,144.87
2014M02,Hungary,144.99
2014M03,Hungary,145.3
2014M04,Hungary,145.15
2014M05,Hungary,145.24
2014M06,Hungary,145.39
2014M07,Hungary,145.63
2014M08,Hungary,145.29
2014M09,Hungary,144.78
2014M10,Hungary,144.66
2014M11,Hungary,144.1
2014M12,Hungary,143.11
2014M01,Malta,116.94
2014M02,Malta,117.78
2014M03,Malta,118.91
2014M04,Malta,121.19
2014M05,Malta,122.38
2014M06,Malta,123.81
2014M07,Malta,123.75
2014M08,Malta,123.96
2014M09,Malta,122.74
2014M10,Malta,122
2014M11,Malta,119.29
2014M12,Malta,119.22
2014M01,Netherlands,115.08
2014M02,Netherlands,115.77
2014M03,Netherlands,117.04
2014M04,Netherlands,117.72
2014M05,Netherlands,117.18
2014M06,Netherlands,116.76
2014M07,Netherlands,117.16
2014M08,Netherlands,117.02
2014M09,Netherlands,116.99
2014M10,Netherlands,116.86
2014M11,Netherlands,116
2014M12,Netherlands,115.75
2014M01,Austria,119.09
2014M02,Austria,119.44
2014M03,Austria,120.56
2014M04,Austria,120.71
2014M05,Austria,120.83
2014M06,Austria,120.81
2014M07,Austria,120.02
2014M08,Austria,120.04
2014M09,Austria,121.13
2014M10,Austria,121.14
2014M11,Austria,121.31
2014M12,Austria,121.36
2014M01,Poland,125.7
2014M02,Poland,125.9
2014M03,Poland,126.1
2014M04,Poland,126.2
